uniqid,isocntry,d11,d70,sd18a,sd18b,d1,d7,d9a_1,d9a_2,d9a_3,d9a_4,d9a_5,d9a_6,d9a_7,d9a_8,d9a_9,d9a_10,d9a_11,d9a_12,d9a_13,d10,d25,d40b_r,d63
20001049,AT,43,Fairly satisfied,Not at all satisfied,Not very satisfied,Box 8,Divorced/Separated: with children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The working class of society
20001050,AT,60,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001051,AT,33,Fairly satisfied,Not very satisfied,Not at all satisfied,Box 6,Divorced/Separated: with children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,Two,The working class of society
20001052,AT,49,Fairly satisfied,Not very satisfied,Not very satisfied,Box 5,Divorced/Separated: without children,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The working class of society
20001053,AT,28,Fairly satisfied,Fairly satisfied,Not very satisfied,Refusal (SPONT.),Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The working class of society
20001054,AT,48,Very satisfied,Not very satisfied,Not very satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001055,AT,67,Very satisfied,Not very satisfied,Not very satisfied,Box 7,Widow: without children,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The lower middle class of society
20001056,AT,50,Not very satisfied,Not very satisfied,Not at all satisfied,Box 7,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The upper middle class of society
20001057,AT,38,Very satisfied,Not at all satisfied,Not very satisfied,Box 6,Divorced/Separated: with children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,Two,The lower middle class of society
20001058,AT,62,Not very satisfied,Not very satisfied,Not very satisfied,Box 4,Widow: without children,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001059,AT,67,Fairly satisfied,Not very satisfied,Not at all satisfied,Box 7,Divorced/Separated: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The middle class of society
20001060,AT,67,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,Divorced/Separated: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,None,The middle class of society
20001061,AT,20,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The middle class of society
20001062,AT,37,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 6,Divorced/Separated: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The middle class of society
20001063,AT,78,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,Widow: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,None,The middle class of society
20001064,AT,18,Very satisfied,Fairly satisfied,Fairly satisfied,Box 3,Single: without children,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,None,The middle class of society
20001065,AT,16,Fairly satisfied,Fairly satisfied,Fairly satisfied,DK (SPONT.),Single: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,None,DK (SPONT.)
20001066,AT,40,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 3,Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Master or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The middle class of society
20001067,AT,68,Fairly satisfied,Very satisfied,Fairly satisfied,Box 5,Single: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The middle class of society
20001068,AT,49,Not very satisfied,Not very satisfied,Not very satisfied,Box 6,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The middle class of society
20001069,AT,50,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 6,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Doctoral or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The upper middle class of society
20001070,AT,31,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 1 - left,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The working class of society
20001071,AT,24,Fairly satisfied,Fairly satisfied,Don't know (SPONTANEOUS),Box 6,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The lower middle class of society
20001072,AT,31,Fairly satisfied,Not very satisfied,Not very satisfied,Box 8,Single liv w partner: without children,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The lower middle class of society
20001073,AT,59,Fairly satisfied,Not very satisfied,Not at all satisfied,Refusal (SPONT.),(Re-)Married: children this/prev marriage,Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The lower middle class of society
20001074,AT,69,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 5,Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The middle class of society
20001075,AT,23,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The lower middle class of society
20001076,AT,56,Fairly satisfied,Not very satisfied,Not very satisfied,Box 8,Divorced/Separated: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The middle class of society
20001077,AT,43,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 4,Divorced/Separated: with children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The middle class of society
20001078,AT,20,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 2,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The middle class of society
20001079,AT,26,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 2,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Bachelor or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,None (SPONT.)
20001080,AT,63,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 7,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The upper middle class of society
20001081,AT,52,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,(Re-)Married: children this/prev marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The middle class of society
20001082,AT,74,Very satisfied,Very satisfied,Not very satisfied,Box 6,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The upper middle class of society
20001083,AT,64,Very satisfied,Fairly satisfied,Fairly satisfied,Box 4,Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Doctoral or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The middle class of society
20001084,AT,61,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The upper middle class of society
20001085,AT,66,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 4,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Master or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The middle class of society
20001086,AT,58,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 4,(Re-)Married: children prev marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Master or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The upper middle class of society
20001087,AT,22,Very satisfied,Fairly satisfied,Fairly satisfied,Box 4,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Bachelor or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The middle class of society
20001088,AT,16,Fairly satisfied,Not at all satisfied,Not at all satisfied,Box 5,Other (SPONT.),Not mentioned,Not mentioned,Lower secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001089,AT,52,Fairly satisfied,Not at all satisfied,Not at all satisfied,Box 8,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001090,AT,45,Very satisfied,Not very satisfied,Not very satisfied,Box 5,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Rural area or village,None,The middle class of society
20001091,AT,59,Very satisfied,Not at all satisfied,Not at all satisfied,Box 6,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,None,The middle class of society
20001092,AT,47,Very satisfied,Not very satisfied,Not very satisfied,Box 6,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Rural area or village,One,The middle class of society
20001093,AT,69,Not very satisfied,Very satisfied,Not very satisfied,Box 8,Widow: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The lower middle class of society
20001094,AT,48,Very satisfied,Fairly satisfied,Fairly satisfied,Box 9,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The working class of society
20001095,AT,29,Fairly satisfied,Very satisfied,Fairly satisfied,Box 10 - right,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,Three,The lower middle class of society
20001096,AT,36,Very satisfied,Fairly satisfied,Very satisfied,DK (SPONT.),(Re-)Married: children prev marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,Two,The working class of society
